Muestra,Descripcion Muestra,Año,Atropello,Caída,Colisión,Choque,Volcadura,Otros ,Muertos,Lesionados Graves,Lesionados Menos Graves,Lesionados Leves,(Incorporar Otra Columna Si es Necesario)
Comunal,PORTEZUELO,2011,0,0,1,2,3,0,0,2,1,5,
Comunal,QUILLON,2010,6,0,23,6,5,0,4,7,3,47,
Comunal,QUILLON,2011,6,0,29,7,9,0,2,10,3,42,
Comunal,QUIRIHUE,2010,7,1,10,3,5,0,4,6,10,33,
Comunal,QUIRIHUE,2011,8,1,9,5,7,0,1,7,4,34,
Comunal,RANQUIL,2010,0,0,8,3,2,0,1,3,0,18,
Comunal,RANQUIL,2011,1,0,4,6,2,0,0,1,2,18,
Comunal,SAN CARLOS,2010,35,2,63,24,25,0,7,36,19,150,
Comunal,SAN CARLOS,2011,30,1,90,26,25,4,16,28,27,197,
Comunal,SAN FABIAN,2010,0,0,3,0,1,0,1,0,0,8,
Comunal,SAN FABIAN,2011,1,1,1,1,2,0,0,2,1,5,
Comunal,SAN IGNACIO,2010,2,0,17,9,8,0,1,5,5,35,
Comunal,SAN IGNACIO,2011,6,0,25,4,5,0,0,7,12,29,
Comunal,SAN NICOLAS,2010,2,0,11,6,4,2,2,8,7,25,
Comunal,SAN NICOLAS,2011,4,0,15,2,8,0,2,9,3,34,
Comunal,TREGUACO,2010,0,0,4,1,3,0,0,0,3,6,
Comunal,TREGUACO,2011,1,0,1,1,7,0,1,2,1,14,
Comunal,YUNGAY,2010,4,1,28,35,11,2,0,19,7,56,
Comunal,YUNGAY,2011,8,2,32,43,13,1,2,13,9,33,
Regional,IX Región de la Araucanía,2010,487,64,1.748,849,335,31,130,522,278,2.692,
Regional,IX Región de la Araucanía,2011,519,60,1.927,1.092,351,36,109,427,333,2.758,
Comunal,TEMUCO,2010,264,45,1.055,451,49,6,25,175,73,1.094,
Comunal,TEMUCO,2011,244,44,1.091,497,64,0,18,151,70,1.080,
Comunal,CARAHUE,2010,6,0,7,2,4,2,1,11,7,33,
Comunal,CARAHUE,2011,5,0,3,1,0,0,1,5,0,5,
Comunal,CUNCO,2010,2,0,6,4,4,0,1,7,6,6,
Comunal,CUNCO,2011,3,0,7,6,8,0,4,8,7,23,
Comunal,CURARREHUE,2010,4,0,3,3,8,2,0,7,7,17,
Comunal,CURARREHUE,2011,0,0,7,2,5,0,1,1,1,12,
Comunal,FREIRE,2010,13,0,19,10,10,1,15,16,14,116,
Comunal,FREIRE,2011,11,0,11,9,11,0,10,14,15,65,
