"tweet_id";"tweet_text"
9745218122;"@aletastets oye tu te podrias comunicar con alguien en chile es un numero celular?"
9745239119;"esta es la pag para buscar a las personas que estan en chile http://www.google.com/intl/es/relief/chileearthquake/"
9745261080;"el epicentro fue en la región del bío bí"
9743980955;"rt @earcos: piden a @movistarchile que libere los wi-fi comerciales para poder mejorar comunicaciones /via @micronauta (rt porfa)"
9745354438;"porque ver los canales nacionales de noticias repitiendo lo mism"
9745359711;"terremoto de chile 900 veces mas fuerte que haití se liberó 500 veces mas energía"
9745803327;"rt @dianitajonas: chile dios los acompaña siempre!!! #colombianeedsjonas"
9745892838;"rt @dmoficial: chicos los invito a donar a dulceamanecer.com.mx para ayudar a nuestros hermanos de chile y donde nos necesiten gracias"
9739744108;"esperando poder contactarnos con nuestra familia del sur"
9735097937;"rt @thelittleidiot: una lastima en chile. no puedo escribir mucho en espano"
9745621788;"@fafa_morales que bueno que estes bien ! tienes noticias de conce??"
9745633171;"rt @jccortes: rt @milenio: ola de dos metros llega a costa de huatulco; hay hoteles y comercios inundados.  #tsunami http://bit.ly/9zcygy"
9745705615;"rt @memeponce: ayuden a chile retwiteen los telefonos de emergencia! 568 1290 / 568 1295 !!!!!!!!"
9727534182;"el #tsunami tras el terremoto chileno debe ser la unica vez que el pueblo boliviano se siente agredecido por no tener mar"
9746018228;"recien me di cuenta que estaba solo en casa ¬¬ la ignorancia hace la felicidad dicen los sabios. menos mal que ya no estoy solo :("
9746033189;"rt @eldictamen: obama: estamos listos para ayudar a chile http://bit.ly/9bujdg"
9746070421;"chileno´s dios los bendigas"
9747819721;"rt @the_jsm: que descansen en paz los 214 muertos del terremoto en chile u.u"
9748970571;"@babyd_y babyyy como estay?? yo bien aca en buin!!"
9748976117;"justo en thc estaban pasando el programa sobre el despertar del anillo de fuego"
9748986944;"tsunami en maui midió como 1m.  lo que hace una diferencia de 2m entre el nivel mas alto y el mas bajo de cada ola. han habido como 5 olas"
9748992679;"@patolamas perfect!!! si él me contó que tu papá lo llamó y ahí caché que estaban o"
9749019878;"@tanamatute gracias que linda por mandar bendiciones a nuestros compatriotas!! que terrible todo lo que esta pasando aqui en chile!!"
9743746756;"alguien de la florida en santiago que pueda comentar? (#moteconhuesillo live at http://ustre.am/cug7)"
9743802184;"al aire víctor sardiña de centro de alertas de tsunamis del pacífico que esta en hawai. en radio 13..."
9749251725;"rt @natitum: en @adnradio habilitamos un fono para dejar mensajes de info de personas: (2) 7262208"
9749205927;"rt @adnradio: hemos habilitado el fono (2) 7262208 para que grabes tu mensaje: si necesitas ubicar a alguien o tienes informacion... htt ..."
9749350154;"sacaron del aire la concentración del oficialismo por cacerolazo contra esteban"
9743324804;"@leon_krauze creo que no sería un milagro. es el resultado de una buena reglamentación en las construcciones de chile."
9743358843;"ya tamo por ahi manin el sencillo es la i el tema q representa el movimiento de santiago aunq to eto mmñ no reconozcan lo q ta al frente sa."
9743379412;"es posible que en 5 minutos en hawaii halla un tsunami?"
9742974232;"rt @rhollmann: #terremotochile 13 horas después del terremot"
9743442672;"@eckhartvoncroy me enteré lo del terremoto! como estas tu y tu flia? y las demas chicas del echelon? si saben algo avisen. bendiciones!"
9747569052;"@kanchola he estado llamando pero tiene el celular apagado. intentare nuevamente mas tarde. quien intenta ubicarl"
9746887317;"rt @elgossiper: sigamos rezando para que el tsunami no llegue fuerte a hawai."
9742977111;"#nowplaying soda stereo - cuando pase el temblor"
9743054137;"#quebolas lo de chile :("
9743072036;"en 15 minutos llega hola a hawai luego del terremoto en chile"
9742991368;"rt @agpm1992: con todo esto...llegamos al 2012 ???"
9727950872;"una pregunta: en chile hubo un megaterremoto hace tiempo?"
9727215669;"rt @carolinamillan: rt @rmartinezv: un mapa de chile con los dif grados. http://bit.ly/ae0ump"
9726036595;"rt @el_pais: un fuerte terremoto de 8.8 de magnitud causa al menos 64 muertos en chile: un terremoto de 8.8 grados en la escala... http: ..."
9742572509;"rt @gabysdanger: si en paraguay ocurre algo asi como en chile este pais se elimina del mapa jajaaj"
9742662122;"rt @irkaflor: si alguien conoce a jorge sepulveda de puente alto cerca santiago comuniquence via twitter conmigo por favor"
9742708438;"rt @sarahilezama: rt @jorcervan http://bit.ly/9uxz8l mexicanos en chile publiquen aqui que están bien por el terremoto via @angiedelavega"
9742266914;"cual es el saldo de muertos en chile?"
9742314081;"rt @auraneurotica si alguien necesita viajar a argentina de urgencia hay vuelos de lan. todo vuelo a santiago esta suspendido"
9742355525;"en menos de dos horas se espera que llegué el tsunami a hawaii"
9741958233;"no me había dado cuenta de lo terrible que fue lo de haitu00e"
9741986251;"@fco_ossandon y eso que es una construccion ""nueva"" "
9750694795;"la noticias del espectador acerca de los temblores no me gustan. primero chil"
9750778383;"imágenes de talcahuano en tvn se ven varios campamento"
9741560836;"la onemi dice que hay 147 muertos en chile..."
9741588094;"http://terratv.terra.com/news/actualidad/6317-169828/equipo-terra-capta-el-terremoto-en-la-quinta.htm  video del terremoto en chile"
9741598763;"animo a todos los chilenos ¡ en mexico estamos con ustedes por lo que estan sufriendo"
9728831906;"rt @victorxoriginal: nostradamus rules ! rt @carlaangola: solidaridad con el pueblo chileno! dios mío (cont) http://tl.gd/c8kso"
9729643597;"intento no pensar que pasaria si un terremoto asi nos tocara a nosotros... gracias a dios los chilenos estan mejor preparados"
9728097726;"rt @globovision: los teléfonos de la embajada de chile en venezuela son: 9923378/ 9925364 /9931538"
9729267568;"rt @eluniversal: el terremoto de chile fue ""50 veces más intenso que el de haití"" http://bit.ly/akm0ds "
9729336327;"uuuh! el terremoto de chile fue 50 veces mas grande que el de haiti ! & yo riendome como estupida ._. wee jonaticas... http://bit.ly/9zefrs"
9739379348;"rt @jcrettaz: realmente impactantes las fotos del #terremotochile de @big_picture (vía @ignacio) http://bit.ly/daolkp #chile (@vanis)"
9748212001;"rt @macarenaam: compañias moviles deberian liberar las llamadas por el #terremotochile @entel_pcs @movistarchile @clarochile ayuden en algo!"
9748273432;"tranquilidad ... siguen replicas pero son normales #terremotochile"
9740120109;"43 replicas entre los 2 y 6 grados de intensidad hasta el momento segun fuente onemi. (via @cruzrojainforma)"
9740126284;"blog post: el sismo de chile ha generado un tsunami en el pacífic"
9740056403;"rt @osses: rt @macarenab: piden que se retuiteen los teléfonos de emergencia en chile 568 1290 / 568 1295 #terremotochile #chile"
9740778948;"espero que todos esten bien en chile!"
9740784420;"@soledadonetto me dice que esta todo en el suel"
9740824350;"rt @twitpuerto: @barbaravallejos nos alegramos mucho que estas bien.// gracias :-)"
9740853623;"se sabe algo de la zona de san pedro en concepcion? no se nada de mis abuelos! porfavor! (#moteconhuesillo live at http://ustre.am/cug7)"
9740914751;"ollanta humala y dirigentes del partido nacionalista expresan su pesar por muertes y daños causados por terremoto en el pueblo de chile."
9739750638;"rt @arturin_85: está bien que ahora vayamos a querer ayudar a chil"
9740486426;"bien luego del terremoto mas fuerte de los ultimos 20 años.... la cago.."
9740498188;"@fran_zepeda si estoy conectada pero he tenido problemas para conectarme"
9750388536;"@banap90 desde el terremoto del 85 que no lo ves..."
9750420304;"no quiero que sea de noch"
9738860794;"rt @pepepunk: llamado de protecccion civil para que la gente no vaya a las playas del pacifico mexicano #tsunami #terremoto #mexico"
9739053450;"rt @bravedew: lo más importante cuando un hueso está quebrado es mantenerlo en una posición fija #chile #quake #terremotochile #argentina"
9738975661;"rt @informadorveraz: el hospital regional de concepcion ha sido evacuado por temor a que se derrumbe #chile"
9729908109;"red d carreteras concesionadas funcionó como los puentes: toda en el suelo.nuevo gobierno deberá supervisar q reconstrucción sea profesional"
9729987912;"el twittero @betk se ofrece desde chile a apoyar con información y/o contactos #terremotochile"
9720011945;"rt @yosoycheka: chile...estamos con ustedes !!! pongan todo en las manos de dios!"
9749623511;"woo dicen que las replicas del terremoto podrian alcansal los 2 meses!!"
9749636115;"ministro del interior confirma 214 muertos. ""fue un cataclismo "
9749541385;"rt @diariodeunafan4: es mi trauma x los terremotos y tsunami o temblo en venezuela???"
9749724644;"rt @lukas699: porfavor busco a mi aabuelo se llama samuel jose albornoz alfaro de tome alguan informacion porfavor #terremotochile #24h"
9750032215;"terremoto provocó fuga de màs de 200 reos de la prisión de chillá en chile"
9745438042;"rt @citytvcomco: noticias - chilenos permanecen en las calles desde tempranas horas de la madrugada http://bit.ly/bbdd9s"
9728600997;"rt @cristianspinosa: rt  @raizacrln: piden que se retuiteen los teléfonos de emergencia en #chile 568 1290 / 568 1295 #terremotochile"
9740919023;"rt @deadbrain: el aeropuerto quedo la caga!!!"
9741167891;"en comunicación con un amigo en chile. el miedo se respira en la call"
9741206384;"rt @anibalgr: #24h #terremotochile quiero saber de cañete alguna informacion buen"
9741240285;"@naaattz yo tambien perdon por responder tarde..yo tambien vivo lejos de la costa asi que no me llegaria un tsunami"
9748621546;"@kerosut el casino esta bie"
9748641847;"quienes de aqui os gusta #dormirenpelotas?  (aunque solo sea en verano) yo levanto la mano :d"
9748646792;"@milyta23 has sabido de alguien mas???"
9745667100;"rt @cooperativa: conozca las medidas que debe tomar tras el terremoto http://bit.ly/ah6x5j #terremotochile"
9741149543;"rt @fonseca: los telefonos de emergencia de chile 568 1290 / 568 1295"
9750933949;"rt @fabriziocopano: otra replica en viña. que la corten."
9751034107;"me gustaria saber si alguno de ustedes ha tenido contacto con carlos star"
9751059598;"rt @leofarfan: jwt en buenas condicione"
9750639691;"rt @el_universal_mx: terremoto en #chile llega a 214 los muertos  http://bit.ly/dafbjs"
9730301226;"@fcomnavarra muchas gracias por todo el apoyo que han dado los amigos de la unav"
9736000640;"@snscafe en un negocio en lastarria aun hay pa"
9736041495;"@satchapretto importante: google crea una página para dar datos o buscar desaparecidos http://chilepersonfinder.appspot.com #chile"
9735730908;"rt @julietasb: q fue una d las cosas q me despertaron hoy? un msj diciendo del terremoto en chile... no es nada bonito para empezar el d ..."
9736080858;"ojala no siga empeorando el tema de chile! :/ yo en argentina ni me entere del terremoco aca! o_o"
9737403569;"@ruzzpalacios el templo tb????"
9737992476;"rt @jkusunoki: qué brutal este video en la quinta vergara durante el #terremotochile http://tor.pe/9shdng"
9734390500;"rt @anamari_db: telf para saber de familiares que esten en chile 2191000 anexo 1573 o 1578 espaÑa esta con chile"
9734477682;"el fútbol del apertura petrobras también se suspende."
9733463530;"@ricardojsr68 gracia"
9733529440;"@pekeniobombon hawaii tiene alerta de tsunami para las 11:00 (hora local"
9732181991;"@indiferencia pana no caigamos en comparaciones ! es momento de informar veraz las nticia pa q los chilenos en vzla esten informados!"
9732203568;"@tvn_mauricio en la carcel de chillan escaparon mas de 200 por lo que me informas de all"
9732239255;"despertando  y con la noticia de un super terremoto en chile"
9738650083;"@juanpablob hemano me llamaste como estay wn???? todos bien po aca.... cuidate wn en valpo"
9738680770;"impresionantes las fotos #terremotochile ---&gt; http://bit.ly/dgvtx4"
9738692947;"tvn el unico que informa de lo que pasa en concepcio"
